Day,Ingredient,Meal,Note,Timestamp
Monday,Bread Loaf,Grilled Cheese Sandwich,,2025-06-25 21:07
Tuesday,Eggs,Apam balik,,2025-06-25 21:07
Wednesday,Butter, Bubble & Squeak,,2025-06-25 21:07
Thursday,Canned Beans,Baked Beans on Toast,,2025-06-25 21:07
Friday,Orange Juice,Fruit Smoothie,,2025-06-25 21:07
Saturday,Oats,Oatmeal with Fruits,,2025-06-25 21:07
Sunday,Peanut Butter,Apam balik,,2025-06-25 21:07
Monday,Bread Loaf,Grilled Cheese Sandwich,,2025-06-25 21:16
Tuesday,Eggs,Apam balik,,2025-06-25 21:16
Wednesday,Butter, Bubble & Squeak,,2025-06-25 21:16
Thursday,Canned Beans,Baked Beans on Toast,,2025-06-25 21:16
Friday,Orange Juice,Fruit Smoothie,,2025-06-25 21:16
Saturday,Oats,Oatmeal with Fruits,,2025-06-25 21:16
Sunday,Peanut Butter,Apam balik,,2025-06-25 21:16
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Vegetarian,2025-06-25 21:21
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:21
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:21
Thursday,Canned Beans,Baked Beans on Toast,,15,Vegetarian,2025-06-25 21:21
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:21
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:21
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:21
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Non-Vegetarian,2025-06-25 21:21
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:21
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:21
Thursday,Canned Beans,Baked Beans on Toast,,15,Vegetarian,2025-06-25 21:21
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:21
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:21
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:21
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Non-Vegetarian,2025-06-25 21:21
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:21
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:21
Thursday,Canned Beans,Baked Beans on Toast,,15,Non-Vegetarian,2025-06-25 21:21
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:21
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:21
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:21
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Non-Vegetarian,2025-06-25 21:21
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:21
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:21
Thursday,Canned Beans,Baked Beans on Toast,,15,Non-Vegetarian,2025-06-25 21:21
Friday,Orange Juice,Fruit Smoothie,,15,Non-Vegetarian,2025-06-25 21:21
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:21
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:21
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Non-Vegetarian,2025-06-25 21:21
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:21
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:21
Thursday,Canned Beans,Baked Beans on Toast,,15,Non-Vegetarian,2025-06-25 21:21
Friday,Orange Juice,Fruit Smoothie,,15,Non-Vegetarian,2025-06-25 21:21
Saturday,Oats,Oatmeal with Fruits,,15,Non-Vegetarian,2025-06-25 21:21
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:21
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Non-Vegetarian,2025-06-25 21:22
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:22
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:22
Thursday,Canned Beans,Baked Beans on Toast,,15,Non-Vegetarian,2025-06-25 21:22
Friday,Orange Juice,Fruit Smoothie,,15,Non-Vegetarian,2025-06-25 21:22
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:22
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:22
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Vegetarian,2025-06-25 21:27
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:27
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:27
Thursday,Canned Beans,Baked Beans on Toast,,15,Vegetarian,2025-06-25 21:27
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:27
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:27
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:27
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Vegetarian,2025-06-25 21:27
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:27
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:27
Thursday,Canned Beans,Baked Beans on Toast,,15,Vegetarian,2025-06-25 21:27
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:27
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:27
Sunday,Peanut Butter,Apam balik,,15,Vegetarian,2025-06-25 21:27
Monday,Bread Loaf,Grilled Cheese Sandwich,,15,Vegetarian,2025-06-25 21:28
Tuesday,Eggs,Apam balik,,15,Vegetarian,2025-06-25 21:28
Wednesday,Butter, Bubble & Squeak,,15,Vegetarian,2025-06-25 21:28
Thursday,Canned Beans,Baked Beans on Toast,,15,Vegetarian,2025-06-25 21:28
Friday,Orange Juice,Fruit Smoothie,,15,Vegetarian,2025-06-25 21:28
Saturday,Oats,Oatmeal with Fruits,,15,Vegetarian,2025-06-25 21:28
Sunday,Peanut Butter,Apam balik,,15,Non-Vegetarian,2025-06-25 21:28
Monday,Bread Loaf,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Wednesday,Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Thursday,Canned Beans,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Friday,Orange Juice,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Saturday,Oats,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Sunday,Peanut Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Monday,Bread Loaf,🍗 Chicken Curry,,15,Non-Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Wednesday,Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Thursday,Canned Beans,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Friday,Orange Juice,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Saturday,Oats,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Sunday,Peanut Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Monday,Bread Loaf,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Wednesday,Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Thursday,Canned Beans,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Friday,Orange Juice,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Saturday,Oats,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Sunday,Peanut Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Monday,Bread Loaf,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🍗 Chicken Curry,,15,Non-Vegetarian,2025-06-25 21:31
Wednesday,Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Thursday,Canned Beans,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Friday,Orange Juice,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Saturday,Oats,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Sunday,Peanut Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Monday,Bread Loaf,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🍗 Chicken Curry,,15,Non-Vegetarian,2025-06-25 21:31
Wednesday,Butter,🍗 Chicken Curry,,15,Non-Vegetarian,2025-06-25 21:31
Thursday,Canned Beans,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Friday,Orange Juice,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Saturday,Oats,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Sunday,Peanut Butter,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Monday,Bread Loaf,🥚 Veggie Stir Fry,,15,Vegetarian,2025-06-25 21:31
Tuesday,Eggs,🍗 Chicken Curry,,15,Non-Vegetarian,2025-06-25 21:31
